method,path,group,title,file,source,score,id
POST,/ns-api/v2/domains/{domain}/users/{user}/timeframes/id/2,domains,Create Additional Entries within Custom Timeframe,reference_post_domains-domain-users-user-timeframes-id-2_1dd234ff3b656782.md,filename,62,060687b0447b91e9
PUT,/ns-api/v2/domains/{domain}/users/{user}/timeframes/id,domains,Replace All Date Ranges in Specific Dates Timeframe,reference_put_domains-domain-users-user-timeframes-id_194fb8ed67570880.md,filename,62,7e005e9075e75897
DELETE,/ns-api/v2/domains/{domain}/timeframes/id/3,domains,Delete Specific Timeframe for Domain (Shared),reference_delete_domains-domain-timeframes-id-3_925b77f0b5b1bce0.md,filename,61,6756e2ab131ff9e6
GET,/ns-api/v2/cdrs/count,cdr,reference_get_cdrs-count_e1b7fd87718f34e8,reference_get_cdrs-count_e1b7fd87718f34e8.md,filename,60,bd83fe2a38c4b601
GET,/ns-api/v2/phones/mac,phones,reference_get_phones-mac_ed286e524d0a3c18,reference_get_phones-mac_ed286e524d0a3c18.md,filename,60,8f2950058b07f27a
POST,/ns-api/v2/tokens/1,other,reference_post_tokens-1_f75dde34e0f819f9,reference_post_tokens-1_f75dde34e0f819f9.md,filename,60,5600c5dfec7393bf
DELETE,/ns-api/v2/domains/{domain}/timeframes/id/2,domains,Delete Entry within Custom Timeframe,reference_delete_domains-domain-timeframes-id-2_374b5c73308eec81.md,filename,59,8379fc4b5e83240f
GET,/ns-api/v2/routecon,other,reference_get_routecon_375397e7ea534a26,reference_get_routecon_375397e7ea534a26.md,filename,59,84a739c1390be9d7
GET,/ns-api/v2/version,other,reference_get_version_c6196b4b87ce361a,reference_get_version_c6196b4b87ce361a.md,filename,59,07cacc5a60265f38
POST,/ns-api/v2/backup,other,reference_post_backup_17748a09d177aadc,reference_post_backup_17748a09d177aadc.md,filename,59,d46a0681872f806c
GET,/ns-api/v2/cdrs,cdr,reference_get_cdrs_8f1be6e4d5473438,reference_get_cdrs_8f1be6e4d5473438.md,filename,58,19e86828b69e3861
GET,/ns-api/v2/holidays/countries,other,Read List of Supported Countries,reference_get_holidays-countries_740cdccb0d4aaab9.html,filename,58,fd146b2c03ea6c4a
GET,/ns-api/v2/jwt,other,reference_get_jwt_3fa3848d7fb8d97d,reference_get_jwt_3fa3848d7fb8d97d.md,filename,58,6a088fac9d6da947
PUT,/ns-api/v2/domains/{domain}/users/{user}/answerrules/reorder,domains,Reorder Answerrules for my User,reference_put_domains-domain-users-user-answerrules-reorder_ad468eaddcf0bad9.html,filename,57,5fbb349739695d63
